,dp_0,dp_1,dp_2,dp_3,medianCorrectRT_0,medianCorrectRT_1,medianCorrectRT_2,medianCorrectRT_3,medianIncorrectRT_0,medianIncorrectRT_1,medianIncorrectRT_2,medianIncorrectRT_3,medianRT_0,medianRT_1,medianRT_2,medianRT_3,dp_hits0,dp_hits1,dp_hits2,dp_hits3,dp_fa0,dp_fa1,dp_fa2,dp_fa3,dp_allhits,dp_allfa
13,0.3487556955170450,0.4989288940483270,0.7777476158438400,0.6840744024312570,1.3002455999999300,1.5190026500000600,0.9652445999998920,1.2014014000001200,1.5294194000000500,1.6517569499999400,1.3608730999999400,1.7338124000000300,1.431628450000060,1.5694823999999700,1.0246191499999200,1.2376163499999400,0.5,0.5882352941176470,0.7,0.6,0.36363636363636400,0.391304347826087,0.4,0.3333333333333330,0.6,0.375
14,0.04749429109194000,0.6124994198741290,0.38414295550059400,0.7706409328151360,1.7331636000000100,1.9825043999999200,1.7496776499999700,1.4645684000000800,1.9802063500000600,2.9916074999999900,3.4278403500001100,2.1470107000001200,1.8027672500001000,2.3161700000000000,2.083011249999910,1.684179849999960,0.15384615384615400,0.6818181818181820,0.4583333333333330,0.65,0.14285714285714300,0.4444444444444440,0.3125,0.35,0.4673913043478260,0.3235294117647060
15,0.7072425377144360,0.5816965147922350,1.7420602740742200,0.630971842579553,1.144252250000140,1.3335425000000200,1.1836252000002800,1.0576657000001400,1.1875334500000500,1.189364050000220,1.273340400000050,1.159813600000230,1.1671086500000500,1.2463521999998200,1.1892384500001800,1.0967530500001900,0.47058823529411800,0.6666666666666670,0.8571428571428570,0.6111111111111110,0.21739130434782600,0.44,0.25,0.36363636363636400,0.6794871794871800,0.32926829268292700
17,0.7825131034048010,0.5488284033410080,0.49673911167129800,1.0484811727613100,1.1129728999994800,0.9633565500007540,1.0475031000005400,0.9478822999999470,1.0896493499994900,1.08461140000054,1.0938234499999500,0.9856922500002840,1.0896493499994900,1.0300508000000300,1.069946550000170,0.959126250000736,0.4583333333333330,0.45,0.5263157894736840,0.7619047619047620,0.1875,0.25,0.3333333333333330,0.3684210526315790,0.5476190476190480,0.2894736842105260
18,0.7738949387068650,1.053331299000420,0.7784548447653300,0.6670033691342420,1.627337500000070,1.7080783999981600,1.413681349999020,1.0194240999999200,1.6081797999995600,1.6318382499994200,1.4723377500013200,1.4845064000001000,1.6177586499998100,1.7080783999981600,1.4266984500000000,1.2469447500006900,0.7333333333333330,0.6956521739130440,0.5263157894736840,0.7647058823529410,0.44,0.29411764705882400,0.23809523809523800,0.5217391304347830,0.6756756756756760,0.38372093023255800
19,0.651112923086222,0.4727891209922670,-0.47195650771331100,0.36899226043204700,1.0473594500000400,1.4178856500000700,1.1035782000000200,1.1072153999999700,1.2133252500000300,1.5077298500000300,1.1591450500000100,0.7744841000001090,1.1864033499999800,1.4493782000000700,1.122726049999980,0.92660340000009,0.35,0.5,0.26666666666666700,0.5263157894736840,0.15,0.3181818181818180,0.44,0.38095238095238100,0.4166666666666670,0.32954545454545500
20,1.0968035620935100,0.6730793066748210,1.3621891739014500,0.9923384341732280,1.2041354500001900,0.9712760500001420,1.0185808500000300,0.781261799999811,1.1218989499998300,1.198112200000200,1.5140389499997600,1.0457252999995000,1.1934661499999500,1.022391349999910,1.1300048999996800,0.8079641000003900,0.5,0.52,0.7391304347826090,0.8148148148148150,0.13636363636363600,0.26666666666666700,0.23529411764705900,0.46153846153846200,0.6559139784946240,0.2537313432835820
21,0.7001675196063270,0.5882741304371140,0.8532362717802730,0.6124994198741300,1.094305600000040,1.0988793500000000,0.9811247000000090,0.8390783999999490,1.3621530000000300,1.0526056499999800,1.1017764999999100,0.8500130999999560,1.1339393000000100,1.0794206999999600,1.0830393499999800,0.844545749999952,0.38095238095238100,0.4,0.45454545454545500,0.5555555555555560,0.15789473684210500,0.2,0.16666666666666700,0.3181818181818180,0.4473684210526320,0.21428571428571400
22,1.2413503476039200,0.8213922209697620,1.0126055906851800,1.6832424671458300,1.2249480999998900,1.2127578000004200,0.898379649999697,0.9246175499997660,1.4682637000005300,1.1467561499998700,1.4322164000000200,1.2651694999999600,1.2907454500000300,1.2054339000001200,1.0693289000000700,0.938297700000021,0.5217391304347830,0.3333333333333330,0.5294117647058820,0.8,0.11764705882352900,0.10526315789473700,0.17391304347826100,0.2,0.5263157894736840,0.15476190476190500
23,1.8535587530485700,0.7646887145679400,0.9163282871688340,1.9559227295512700,0.9042026000006450,0.9262146500004750,0.8013466499996870,0.810042600000088,1.277890600000320,1.127075400000650,1.3455578000002800,1.1228267000005900,1.0180199499991400,0.9383675500002940,0.9289961000004040,0.8517636499991570,0.3181818181818180,0.43478260869565200,0.5714285714285710,0.6521739130434780,0.0,0.17647058823529400,0.23076923076923100,0.058823529411764700,0.4878048780487810,0.1282051282051280
